,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,G-xG,xG_y,Cmp,Cmp,Cmp,Cmp,xA,KP,1/3,PPA,PrgP,Def Pen,Att Pen,Succ%,CrdY,CrdR,Fls,Fld,Off,TklW,Recov,Int,Clr,Err,Team
4,2023-04-29,18:30,Série A,Matchweek 3,Sat,Away,L,1.0,2.0,Palmeiras,0.5,1.3,46.0,,Cássio,4-2-3-1,Wilton Sampaio,Match Report,,10,2,23.7,-0.5,0.5,385.0,199.0,146.0,26.0,0.4,6.0,22.0,7.0,38.0,75.0,13.0,38.5,3,0,15,18,1,6,49.0,8,22.0,0.0,Corinthians
0,2023-04-15,16:00,Série A,Matchweek 1,Sat,Away,L,1.0,2.0,Palmeiras,0.7,2.7,48.0,35835.0,Walter,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,12,4,18.1,0.3,0.7,360.0,185.0,141.0,28.0,0.7,11.0,24.0,4.0,37.0,56.0,16.0,62.5,5,1,12,21,2,10,54.0,10,21.0,1.0,Cuiaba
1,2023-04-22,17:30,Série A,Matchweek 2,Sat,Home,D,1.0,1.0,Bragantino,1.2,0.9,34.0,,Marllon Borges,4-2-3-1,Caio Max Augusto Vieira,Match Report,,14,3,16.9,-0.2,1.2,194.0,71.0,81.0,32.0,0.6,10.0,25.0,2.0,25.0,49.0,17.0,58.8,3,0,17,21,3,8,43.0,8,23.0,0.0,Cuiaba
2,2023-04-30,17:30,Série A,Matchweek 3,Sun,Home,L,1.0,2.0,Grêmio,1.2,1.6,51.0,,Marllon Borges,4-2-3-1,Bruno Arleu de Araujo,Match Report,,15,4,19.7,-0.2,1.2,369.0,156.0,151.0,45.0,1.4,10.0,40.0,9.0,52.0,42.0,25.0,84.2,5,1,15,11,2,10,48.0,8,19.0,0.0,Cuiaba
0,2023-04-16,16:00,Série A,Matchweek 1,Sun,Away,L,0.0,3.0,Flamengo,0.4,1.4,42.0,42848.0,Gabriel,4-3-3,Rodrigo José Pereira de Lima,Match Report,,10,3,23.3,-0.4,0.4,347.0,160.0,127.0,49.0,0.2,8.0,22.0,1.0,23.0,77.0,6.0,60.0,3,0,17,19,2,22,56.0,11,16.0,0.0,Coritiba
1,2023-04-23,18:30,Série A,Matchweek 2,Sun,Home,L,0.0,3.0,Fortaleza,0.7,2.6,58.0,,Gabriel,3-1-4-2,Wilton Sampaio,Match Report,,18,7,23.7,-0.7,0.7,452.0,188.0,219.0,43.0,0.6,15.0,36.0,6.0,43.0,64.0,10.0,53.6,1,0,9,10,2,15,53.0,10,23.0,0.0,Coritiba
2,2023-04-29,16:30,Série A,Matchweek 3,Sat,Home,D,1.0,1.0,São Paulo,1.9,1.0,33.0,,Willian Farias,3-4-3,Rafael Rodrigo Klein,Match Report,,16,5,15.6,-0.9,1.9,231.0,99.0,93.0,35.0,0.5,12.0,29.0,6.0,33.0,56.0,23.0,44.4,4,0,14,12,2,15,50.0,15,20.0,0.0,Coritiba
1,2023-04-15,16:00,Série A,Matchweek 1,Sat,Home,L,0.0,3.0,Fluminense,1.1,3.0,46.0,,Juninho,4-2-3-1,Braulio da Silva Machado,Match Report,,17,2,17.1,-1.1,1.1,296.0,125.0,115.0,45.0,1.7,11.0,33.0,14.0,56.0,33.0,32.0,60.0,3,0,25,9,2,10,59.0,19,6.0,0.0,America MG
3,2023-04-22,18:30,Série A,Matchweek 2,Sat,Away,L,0.0,3.0,São Paulo,1.2,2.3,47.0,41006.0,Juninho,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,22,8,21.4,-1.2,1.2,334.0,136.0,143.0,45.0,0.7,14.0,32.0,14.0,42.0,52.0,29.0,38.9,3,0,12,18,3,6,45.0,6,15.0,2.0,America MG
4,2023-04-29,18:30,Série A,Matchweek 3,Sat,Away,L,2.0,3.0,Santos,1.7,1.8,56.0,,Juninho,4-1-4-1,Anderson Daronco,Match Report,,19,8,22.5,0.3,1.7,320.0,134.0,151.0,32.0,1.0,15.0,34.0,10.0,56.0,42.0,16.0,68.8,4,0,16,18,1,7,57.0,8,17.0,0.0,America MG
